OBJECTID,USRN,ROADDESC,DOMAIN_,WARD,LOCALITY,IDCODE,TYPEDESC,LOCATION,CONDITION,MATERIALLA,HEIGHT,MANUFACTUR,CROSSSECTI,MATERIAL,CATTYPE,MODEL,COLOUR,NBOFLANTER,X,Y,NUMPOINTS
"1","21900059",ABBESS CLOSE,LB - Lambeth,L1 - Thurlow Park,THURLOW PARK,1408-45,SL - Street Lighting,Adjacent/near opposite 0711,1 - Good,(DW1) Edinburgh Decorative Tubular Steel,"10",DW Windsor,TN - Tubular Standard,S1 - Steel,CD - Decorative,ED -Edinburgh,BLACK - Unspecified,"1",531477.812500000000000,173211.250000000000000,0
"2","21900059",ABBESS CLOSE,LB - Lambeth,L1 - Thurlow Park,THURLOW PARK,C1408-FB02,SB - Belisha Beacon,Opposite saund,1 - Good,(CU1) Belisha Beacon Tubular Steel,"4",CU Phosco,TN - Tubular Standard,S1 - Steel,BB - Belisha Beacon,NULL,BLACK - Unspecified,"1",531457.289199999999255,173246.065000000002328,0
"3","21900060",ABBEVILLE MEWS,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,0344-X27,SL - Street Lighting,Outside 88,1 - Good,(ST1) Standard Tubular Steel,"10",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529720.000000000000000,175063.765600000013364,0
"4","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,0344-X19,SL - Street Lighting,Junction with abbeville road,1 - Good,(ST1) Standard Tubular Steel,"10",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529783.375000000000000,174999.453100000013364,0
"5","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,0344-X20,SL - Street Lighting,Junction with abbeville road,1 - Good,(ST1) Standard Tubular Steel,"10",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529767.437500000000000,175000.593800000002375,0
"6","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-01,SL - Street Lighting,Junction with trouville road,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529190.675500000012107,174245.710800000000745,0
"7","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-02,SL - Street Lighting,Outside 2,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529209.125499999965541,174245.932099999976344,0
"8","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-03,SL - Street Lighting,Outside 4,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529219.797000000020489,174264.214500000001863,0
"9","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-04,SL - Street Lighting,Junction with gower close,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529225.991900000022724,174290.185200000007171,0
"10","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-05,SL - Street Lighting,Opposite 5,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529250.962500000023283,174312.927599999995437,0
"11","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-06,SL - Street Lighting,Opposite boneville gds,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529258.831499999971129,174343.331300000019837,0
"12","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-07,SL - Street Lighting,Outside 17,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529284.701699999975972,174367.987900000007357,0
"13","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-08,SL - Street Lighting,Opposite 24,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529288.635000000009313,174389.833899999997811,0
"14","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-09,SL - Street Lighting,Opposite 33,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529311.468600000021979,174409.986700000008568,0
"15","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-10,SL - Street Lighting,Outside 37,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529315.738999999943189,174433.409199999994598,0
"16","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-11,SL - Street Lighting,Outside 36,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529336.885299999965355,174452.661400000011781,0
"17","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-12,SL - Street Lighting,Opposite 53,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529345.656799999997020,174470.227099999989150,0
"18","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-13,SL - Street Lighting,Outside 57,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529352.177000000025146,174494.887799999996787,0
"19","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-14,SL - Street Lighting,Outside 56,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529374.560900000040419,174513.689399999973830,0
"20","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-15,SL - Street Lighting,Outside 56,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529380.630499999970198,174541.390699999989010,0
"21","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-16,SL - Street Lighting,Outside 79,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529392.776799999992363,174559.969200000021374,0
"22","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-17,SL - Street Lighting,Junction with elms court,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529407.847199999960139,174583.952499999984866,0
"23","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-18,SL - Street Lighting,Outside elms court,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529427.308399999979883,174590.705099999991944,0
"24","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-19,SL - Street Lighting,Junction with elms court,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529428.878200000035577,174617.281300000002375,0
"25","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-20,SL - Street Lighting,Adjacent/near 60,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529453.512499999953434,174633.604900000005728,2
"26","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-21,SL - Street Lighting,Outside 85,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529456.769699999946170,174660.968999999982771,0
"27","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-22,SL - Street Lighting,Opposite franconia rd,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529468.354799999971874,174673.241299999994226,0
"28","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-23,SL - Street Lighting,Outside 74,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529492.653300000005402,174681.231599999999162,0
"29","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-24,SL - Street Lighting,Outside 97,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529503.448500000056811,174705.666200000006938,0
"30","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-25,SL - Street Lighting,Outside 90,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529526.959700000006706,174712.643199999991339,0
"31","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-26,SL - Street Lighting,Opposite caldervale rd,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529533.480499999946915,174733.700400000001537,0
"32","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-27,SL - Street Lighting,Outside 100,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529556.991599999950267,174741.465700000000652,0
"33","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-28,SL - Street Lighting,Outside 129,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529566.212199999950826,174764.098800000007031,0
"34","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-29,SL - Street Lighting,Outside 118,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529589.610899999970570,174770.625399999989895,0
"35","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-30,SL - Street Lighting,Opposite leppoc road,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529595.119599999976344,174790.218800000002375,0
"36","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-31,SL - Street Lighting,Opposite 153,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529619.868000000016764,174798.659500000008848,0
"37","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-32,SL - Street Lighting,Outside 163,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529631.450700000044890,174823.319099999964237,0
"38","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-33,SL - Street Lighting,Opposite 169,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529654.399300000048243,174830.408800000004703,0
"39","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-35,SL - Street Lighting,Opposite 140,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529673.404100000043400,174870.044400000013411,0
"40","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-36,SL - Street Lighting,Outside 123,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529694.663999999989755,174883.215499999991152,0
"41","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-37,SL - Street Lighting,Outside 158,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529712.547400000039488,174904.382899999996880,0
"42","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-38,SL - Street Lighting,Outside 199,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529721.541300000040792,174935.687199999985751,0
"43","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-39,SL - Street Lighting,Opposite st alphonsus rd,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529736.953300000051968,174938.386700000002747,0
"44","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-40,SL - Street Lighting,Outside park court,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529743.810999999986961,174962.934700000012526,0
"45","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-41,SL - Street Lighting,Opposite park court,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529764.958600000012666,174975.655399999988731,0
"46","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-42,SL - Street Lighting,Junction with clapham park rd,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529770.017400000011548,174994.573299999989104,0
"47","21900062",ABBOTS PARK,LB - Lambeth,L1 - Tulse Hill,TULSE HILL,1408-41,SL - Street Lighting,Outside 132,1 - Good,(DW1) Edinburgh Decorative Tubular Steel,"10",DW Windsor,TN - Tubular Standard,S1 - Steel,CD - Decorative,ED -Edinburgh,BLACK - Unspecified,"1",531396.312500000000000,173338.515600000013364,0
"48","21900062",ABBOTS PARK,LB - Lambeth,L1 - Tulse Hill,TULSE HILL,C0062-01,SL - Street Lighting,Side of 134,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",531394.881300000008196,173323.498699999996461,0
"49","21900062",ABBOTS PARK,LB - Lambeth,L1 - Tulse Hill,TULSE HILL,C0062-02,SL - Street Lighting,Outside 2,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",531370.412600000039674,173319.845000000001164,0
"50","21900062",ABBOTS PARK,LB - Lambeth,L1 - Tulse Hill,TULSE HILL,C0062-03,SL - Street Lighting,Outside 7,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",531350.151199999963865,173300.358600000006845,0
"51","21900062",ABBOTS PARK,LB - Lambeth,L1 - Tulse Hill,TULSE HILL,C0062-04,SL - Street Lighting,Outside 7,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",531321.475199999986216,173294.269100000004983,0
"52","21900062",ABBOTS PARK,LB - Lambeth,L1 - Tulse Hill,TULSE HILL,C0062-05,SL - Street Lighting,Outside 38,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",531299.995899999979883,173282.422200000000885,0
"53","21900062",ABBOTS PARK,LB - Lambeth,L1 - Tulse Hill,TULSE HILL,C0062-06,SL - Street Lighting,Junction with high trees,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",531286.488299999968149,173266.368099999992410,0
"54","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-1,SL - Street Lighting,Side of 101,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529614.312500000000000,172714.109399999957532,0
"55","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-10,SL - Street Lighting,Outside 36,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529523.437500000000000,172481.015600000013364,0
"56","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-11,SL - Street Lighting,Opposite 39,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529532.875000000000000,172455.078100000013364,0
"57","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-12,SL - Street Lighting,Outside 43,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529551.937500000000000,172438.046899999986636,0
"58","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-13,SL - Street Lighting,Opposite 47,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529561.187500000000000,172404.937500000000000,0
"59","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-14,SL - Street Lighting,Outside 49,2 - Fair,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529580.250000000000000,172386.531300000002375,0
"60","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-15,SL - Street Lighting,Opposite 0721,2 - Fair,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529576.937500000000000,172362.031300000002375,0
"61","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-16,SL - Street Lighting,Junction with hoadly road,2 - Fair,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529590.125000000000000,172349.062500000000000,0
"62","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-17,SL - Street Lighting,Opposite 53,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529577.625000000000000,172338.312500000000000,0
"63","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-18,SL - Street Lighting,Opposite 55,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529579.937500000000000,172312.437500000000000,0
"64","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-19,SL - Street Lighting,Outside 46,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529586.312500000000000,172288.187500000000000,0
"65","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-2,SL - Street Lighting,Adjacent/near 1,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529610.000000000000000,172682.640600000013364,0
"66","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-20,SL - Street Lighting,Outside 52,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529594.812500000000000,172269.062500000000000,0
"67","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-21,SL - Street Lighting,Outside 63,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529614.812500000000000,172246.718800000002375,0
"68","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-22,SL - Street Lighting,Side of 243,2 - Fair,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529618.250000000000000,172223.781300000002375,0
"69","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-3,SL - Street Lighting,Outside 6,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529591.812500000000000,172660.390600000013364,0
"70","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-4,SL - Street Lighting,Outside 9,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529586.812500000000000,172627.828100000013364,0
"71","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-5,SL - Street Lighting,Outside 16,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529569.062500000000000,172606.062500000000000,0
"72","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-6,SL - Street Lighting,Outside 19,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529565.312500000000000,172575.812500000000000,0
"73","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-7,SL - Street Lighting,Outside 25,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529556.250000000000000,172553.890600000042468,0
"74","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-8,SL - Street Lighting,Outside 28,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529535.937500000000000,172527.281300000002375,0
"75","21900063",ABBOTSWOOD ROAD,LB - Lambeth,L1 - St. Leonard's,ST LEONARD'S,0063-9,SL - Street Lighting,Outside 32,1 - Good,(FA1) Standard Tubular Steel,"6",FABRIKAT,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529527.937500000000000,172507.359399999986636,0
"76","21900064",ABERCAIRN ROAD,LB - Lambeth,L1 - Streatham South,STREATHAM SOUTH,C0064-10,SL - Street Lighting,Outside 55,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529418.983200000016950,170361.313400000013644,0
"77","21900064",ABERCAIRN ROAD,LB - Lambeth,L1 - Streatham South,STREATHAM SOUTH,C0064-11,SL - Street Lighting,Outside 88,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529400.298199999961071,170349.401799999992363,0
"78","21900064",ABERCAIRN ROAD,LB - Lambeth,L1 - Streatham South,STREATHAM SOUTH,C0064-12,SL - Street Lighting,Outside 98,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529385.817400000058115,170331.651000000012573,0
"79","21900064",ABERCAIRN ROAD,LB - Lambeth,L1 - Streatham South,STREATHAM SOUTH,C0064-13,SL - Street Lighting,Outside 108,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529370.402299999957904,170312.265399999974761,0
"80","21900064",ABERCAIRN ROAD,LB - Lambeth,L1 - Streatham South,STREATHAM SOUTH,C0064-14,SL - Street Lighting,Outside 114,1 - Good,(ST1) Standard Tubular Steel,"6",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529354.286500000045635,170292.646100000012666,0
