Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01032834,Southwark 003K,1.1,19.1,87.5,3.3,52.3,3.8,2.3,71087
E01003975,Southwark 004A,21.7,48.2,86.2,66.1,12.3,10.4,9.8,24865
E01003978,Southwark 004B,11.9,38.2,86.7,37.1,31.4,9.0,8.3,33791
E01004022,Southwark 004C,13.8,34.8,85,47.4,15,8.4,7.9,30339
E01004023,Southwark 004D,13.2,33.3,88.8,57.5,16.1,10.0,9.5,27534
E01004028,Southwark 004E,14.2,40.6,85.1,60.9,16.4,10.5,9.4,27936
E01003938,Southwark 006A,13.2,51.4,83.9,51,20.3,10.3,9.2,28985
E01003940,Southwark 006B,18.4,60.4,85,66.1,16.9,11.4,11.8,25181
E01003941,Southwark 006C,8,36.9,86.4,32.3,33.6,6.6,4.9,40423
E01003942,Southwark 006D,19.8,57.4,86.8,64.5,16.6,9.3,8.2,25671
E01003979,Southwark 006E,11.4,40.8,87.9,45.1,29.7,6.9,7.9,33404
E01003981,Southwark 006F,10.5,44.3,90.9,52.4,29.4,7.3,5.3,30279
E01004030,Southwark 007A,9.9,29.8,86.1,53.2,20.9,8.7,7.7,32029
E01004031,Southwark 007B,12.4,43,80.6,39.1,24.4,7.9,6.1,31160
E01004033,Southwark 007C,16,43.1,85.4,62.2,17.5,10.7,10.8,26611
E01004034,Southwark 007D,20.9,37.1,83.1,60.9,18.6,13.3,9.3,25821
E01004036,Southwark 007E,21.6,50.6,80.1,62.7,23.7,11.8,12.0,23980
E01004056,Southwark 008A,10.9,28.8,83.6,33,34.7,8.3,6.2,40997
E01004057,Southwark 008B,15.6,31.3,83.2,31,25.4,10.1,6.5,40999
E01004058,Southwark 008C,2.3,25.8,82.6,1.1,44.9,6.6,3.1,59188
E01004059,Southwark 008D,2.1,35.4,80.2,3.6,53.3,4.8,2.8,53475
E01004060,Southwark 008E,16.8,42.8,81.7,46.6,30.2,7.1,7.9,29919
E01003936,Southwark 009A,2.9,32,92.8,27.2,44.9,5.8,2.4,59466
E01003937,Southwark 009B,6,44.7,83.4,16.5,41.8,6.8,5.1,38085
E01003943,Southwark 009C,18.9,65.9,75,64.3,19.3,11.0,8.9,24686
E01032720,Southwark 009F,13.2,62.6,74.2,49.3,29.8,9.8,7.2,25697
E01003977,Southwark 010A,14.4,36.2,84.8,59,16.8,11.5,10.3,24781
E01004037,Southwark 010B,13.9,43.2,79.4,42.8,27.6,11.0,9.0,26554
E01004038,Southwark 010C,21.6,48.8,80.1,37.7,30.8,13.1,11.1,29010
E01004042,Southwark 010D,17.6,29.7,87.5,66.9,16.8,10.3,10.5,23047
E01004043,Southwark 010E,11.5,20.4,89.3,38.2,17.9,10.5,7.9,30204
E01003986,Southwark 011A,21.3,46.2,86.2,78.5,9.1,12.2,13.7,22046
E01003987,Southwark 011B,19.4,41.2,87.7,69.5,13.5,11.9,10.2,23904
E01004024,Southwark 011C,15,36.8,81.8,67,17.5,10.0,12.4,22662
E01004035,Southwark 011D,20.7,42.5,84,71.2,13.1,9.4,11.3,24051
E01003960,Southwark 012A,12.8,40.3,85.1,36.2,33.4,7.3,6.5,28599
E01003961,Southwark 012B,15.7,55.2,83.6,67,16.4,11.5,10.5,22990
E01003994,Southwark 012E,13.7,47.4,84.6,54.8,24.1,8.7,10.1,25033
E01032722,Southwark 012F,13.9,43.2,84.7,44.6,39.6,9.3,9.1,26860
E01003980,Southwark 013A,10.9,39.8,85.1,61.6,25,10.0,8.1,26184
E01004039,Southwark 013B,11.4,48.1,77.7,27.8,34.6,11.2,8.6,28524
E01004040,Southwark 013C,20.6,64.2,79.3,79.1,8.5,12.2,10.9,21336
E01004041,Southwark 013D,16.3,49,79.7,66.1,20.3,14.3,10.5,24293
E01004044,Southwark 013E,20.5,49,84,64.2,12.2,12.9,10.2,25315
E01003992,Southwark 014A,25.8,56.6,81.2,66.4,14.4,11.7,10.7,24665
E01003995,Southwark 014B,15.9,43.8,87.8,63,14.8,9.9,11.2,27443
E01003998,Southwark 014D,8.2,29.4,90.8,44.1,24.4,10.1,7.7,36198
E01003999,Southwark 014E,17.6,45.6,82.2,47.7,21.9,11.4,9.7,28553
E01032639,Southwark 014F,11.3,39.6,81.8,33.1,39.8,8.4,6.6,31390
E01032719,Southwark 014G,10.3,52.8,75.3,49.4,29.4,9.7,10.4,27102
E01003964,Southwark 015A,16.8,54.3,81.5,52.9,24.5,11.4,9.5,28018
E01003966,Southwark 015B,18.5,56.2,79.9,57.2,28.2,9.6,9.8,24598
E01003968,Southwark 015C,21.1,74.5,81.3,80.8,8.2,13.4,15.1,21873
E01003971,Southwark 015D,26.8,71.8,80.1,82.1,7.1,15.2,18.6,21304
E01003974,Southwark 015E,18.2,66.6,81.6,75.3,10,13.6,10.9,22901
E01003963,Southwark 016A,22.5,64,83.1,67.2,18.6,13.5,12.9,22424
E01003967,Southwark 016B,23.2,67.8,81.5,79.5,9.2,14.0,16.1,21715
E01003970,Southwark 016C,20,62.7,82.7,76.7,10.2,11.7,12.0,23683
E01003972,Southwark 016D,14.1,55.8,83.3,63.4,22,14.3,8.9,26684
E01003973,Southwark 016E,18.5,47.8,80.1,70.2,20,11.7,10.3,24871
E01003923,Southwark 017A,11.4,48.1,89.7,43.2,25.1,10.0,9.2,31954
E01003969,Southwark 017B,13.7,42.7,81.3,32.6,36.9,9.2,6.9,29008
E01003991,Southwark 017C,15.9,48.3,82.5,65.3,12,10.6,9.5,22650
E01003993,Southwark 017D,23.7,68.2,80,74.8,8.7,13.6,11.8,24274
E01003997,Southwark 017E,17.2,46.8,89.6,42.4,21.2,12.4,9.3,30057
E01003983,Southwark 018A,25.9,72.2,84.9,79,10,14.9,15.4,21981
E01003988,Southwark 018B,15.9,64.3,80.1,62,16.9,11.7,12.0,23795
E01003989,Southwark 018C,25.1,70.8,81.9,71.4,13.9,15.0,14.1,23652
E01003990,Southwark 018D,22.9,69.8,86.7,68.5,12.2,14.7,12.8,24447
E01004007,Southwark 018E,28.9,76.3,88.5,75.5,9.4,18.6,11.4,23427
E01003912,Southwark 019A,27.7,77.5,84.1,85.1,7.5,16.5,13.7,22221
E01004011,Southwark 019B,28.9,81,88.1,72.7,11.2,16.6,12.9,23918
E01004012,Southwark 019C,19.5,66.9,82.2,49.5,22.5,11.0,10.7,27398
E01004013,Southwark 019D,25.4,73.9,84.8,62.4,17,13.4,11.8,24330
E01004014,Southwark 019E,21.1,72.5,81.4,67.2,14.6,12.5,13.6,23812
E01003911,Southwark 020A,19.4,62.9,84.9,61.3,18.2,10.8,10.3,27208
E01003916,Southwark 020B,13.7,52.1,83.1,33,28.1,12.0,9.8,29571
E01003917,Southwark 020C,11.2,48.1,87.4,45.2,17.3,10.7,8.5,28965
E01003918,Southwark 020D,20.4,66,83.5,74.7,11.8,13.6,12.5,23928
E01003925,Southwark 020E,21.4,58.2,84.8,71.5,14.2,13.8,12.0,24902
E01003919,Southwark 021A,12,50.5,85.5,52.7,24.1,10.4,7.2,31843
E01003920,Southwark 021B,20.4,68.8,79.8,70.8,9.7,12.1,11.6,23747
E01003921,Southwark 021C,14.7,58.3,80.7,67.9,23.8,9.7,12.5,25342
E01003922,Southwark 021D,21.3,60.9,84,57,20.5,11.3,9.8,26243
E01003924,Southwark 021E,19,73.2,76.8,71.8,19.1,12.5,11.5,22655
E01003926,Southwark 021F,20.2,64.3,82.4,65,16.7,11.8,10.0,25590
E01004008,Southwark 022B,25.5,72.9,84.2,66,12.6,13.3,15.0,24628
E01004010,Southwark 022D,19.5,68.3,80,48.3,24,12.3,11.2,25729
E01004067,Southwark 022E,16.4,70,80.5,58.5,20.6,13.2,11.7,26036
E01032805,Southwark 022F,20.1,61.1,84.6,51.5,19.9,12.9,11.9,24054
E01003984,Southwark 023A,10.7,56.7,85.9,42.6,25.4,10.8,10.4,26292
E01004003,Southwark 023B,19.2,64.8,87.7,64.1,12.7,14.2,14.4,24632
E01004004,Southwark 023C,14.7,53.3,87.6,40.5,23.5,9.5,9.1,27524
E01004005,Southwark 023D,18.3,67.4,83.2,64.3,17.9,12.4,14.1,23714
E01004006,Southwark 023E,16.7,51.9,90.7,35.1,24.9,11.5,13.1,28401
E01003913,Southwark 024A,9.4,34.7,88.3,27.3,29.9,9.7,5.7,42164
E01003914,Southwark 024B,10.2,38.8,92.4,30.9,23.5,9.6,8.8,37304
E01003915,Southwark 024C,16.3,61,89.5,54,15.3,10.9,11.1,28095
E01004050,Southwark 024D,6.7,25.4,90.8,13.5,33.1,8.9,5.0,47456
E01004052,Southwark 024E,7,31.1,91.7,25.1,27.9,7.9,4.4,46706
E01004061,Southwark 025A,7.9,36.3,92.6,24.6,26.6,9.7,6.0,43865
E01004062,Southwark 025B,14.3,51.5,86.9,36,28.1,9.1,8.2,28343
E01004063,Southwark 025C,12.8,39.6,95,31.4,22.8,11.0,6.2,37388
E01004065,Southwark 025D,10.1,33.1,94.4,20.6,26.4,8.5,6.5,45520
E01004066,Southwark 025E,17.1,52.7,86.7,45.7,18,10.9,8.4,29678
E01004000,Southwark 026A,14.3,55.6,89.9,39.1,22.5,11.2,8.3,27486
E01004001,Southwark 026B,19.5,57.4,89.7,67.5,9.7,15.9,10.1,25192
E01004019,Southwark 026C,18.6,53,90.2,39.7,19.4,11.9,7.5,32087
E01004064,Southwark 026D,17.8,54.5,88.9,53,20.8,12.8,9.6,26659
E01004068,Southwark 026E,18.5,60,89.4,55.9,12.1,11.6,11.2,26310
E01004045,Southwark 027A,29,72,87.2,76,8.5,16.5,14.2,25047
E01004047,Southwark 027B,24.1,64.1,84,63.6,14,12.2,11.5,24823
E01004048,Southwark 027C,15.5,39.2,91.9,35.8,18.3,11.0,5.4,40569
E01004049,Southwark 027D,27,59,83.8,57.2,16.4,12.1,7.8,28837
E01004051,Southwark 027E,7.7,25,93.1,15.7,17.6,7.1,3.1,48584
E01003953,Southwark 028A,7.9,30.8,90.3,29.2,29.9,6.3,5.6,46215
E01003955,Southwark 028B,7.9,31.6,94,23.4,24.9,7.9,5.6,43785
E01004015,Southwark 028C,9.4,27.9,94.5,22.3,25.4,9.3,4.1,45404
E01004021,Southwark 028D,7.5,24.5,93.3,15.1,46.5,7.4,5.0,44598
E01004046,Southwark 028E,10.2,35.1,96.1,27.6,22,8.0,5.2,45726
E01004002,Southwark 029A,12.4,34.9,95.3,19.4,18.3,12.1,8.4,39625
E01004016,Southwark 029B,15.3,35.3,92.6,22.4,18.6,10.7,8.0,36094
E01004017,Southwark 029C,11.3,24.2,93.8,14.7,23.6,10.2,5.2,46095
E01004020,Southwark 029D,21.9,59.5,89.5,56.4,14.7,14.0,12.9,27236
E01003952,Southwark 030A,8.8,26.2,94.5,14.5,30.5,7.8,5.4,49473
E01003954,Southwark 030B,7,28.7,94.9,16.6,23,8.3,4.9,47014
E01003956,Southwark 030C,9,26.8,95.3,14.3,25,9.1,4.9,50125
E01004071,Southwark 030D,12.5,29.4,94.6,35.3,17.9,9.3,6.8,42207
E01004072,Southwark 030E,7,19,95.3,10.4,18.2,8.7,2.8,63329
E01004069,Southwark 031A,5.6,19.8,97.4,6.4,13.5,8.2,2.5,73740
E01004070,Southwark 031B,10.1,21.5,95.4,22.6,18.4,8.5,4.6,53584
E01004073,Southwark 031C,8.2,18.7,94.8,12.1,25.4,7.8,4.3,62258
E01004074,Southwark 031D,6,19.9,96,9.2,15.7,9.3,3.2,65394
E01004075,Southwark 031E,5.9,13.8,97.4,8.8,16,7.1,2.6,75785
E01003949,Southwark 032A,8.5,27.2,92.2,15.3,30.3,10.3,4.4,46124
E01003950,Southwark 032B,21.2,48.2,90.1,50.6,18.3,12.4,12.2,27244
E01003957,Southwark 032C,11.8,25.5,95.1,18.6,24.1,9.4,4.7,48041
E01003958,Southwark 032D,10.3,26.9,93.8,21.2,21.7,9.5,5.0,44940
E01004018,Southwark 032E,9.5,22.6,93.8,7.2,25.3,9.0,4.2,49395
E01003945,Southwark 033A,10.1,30.7,94.7,16.6,15.9,9.1,3.7,51414
E01003946,Southwark 033B,12.4,36.4,93.4,20,18.6,11.3,6.9,47445
E01003947,Southwark 033C,30.2,57.4,90.7,63.7,12.1,14.1,14.1,24678
E01003948,Southwark 033D,9.4,28.8,92.6,11.7,28.2,10.4,5.3,43155
E01003951,Southwark 033E,11.9,28.1,96.1,16.3,17.2,11.9,4.9,56947
E01003930,Southwark 034A,9.2,39.8,83.8,46.1,28.6,10.1,10.9,30728
E01003932,Southwark 034B,13.2,53.6,84,51.8,23.8,12.6,13.5,26217
E01003933,Southwark 034C,13,42.9,92,40.4,22.9,9.8,7.3,35603
E01032583,Southwark 034D,10.2,33.6,89.4,49.7,28.6,8.9,6.6,31930
E01032584,Southwark 034E,16.8,46.1,86.7,48,21.3,10.2,7.6,31657
E01004222,Tower Hamlets 001A,15,45.7,84.9,60.8,16.7,10.1,13.6,26686
E01004223,Tower Hamlets 001B,18.4,40.4,87.4,68.8,15.6,11.3,10.3,32097
E01004224,Tower Hamlets 001C,12.9,44.7,88.3,45.8,32.4,9.1,11.2,30923
E01004226,Tower Hamlets 001D,17.2,49,83,49.4,23.7,10.8,10.9,29251
E01004197,Tower Hamlets 002A,10.1,49.5,78.6,43.8,32.9,9.1,10.1,34707
E01004198,Tower Hamlets 002B,10.6,56,79.2,62.4,20.6,10.5,13.6,27545
E01004199,Tower Hamlets 002C,17.6,66.8,76.1,71.1,15.5,11.0,13.7,25885
E01004201,Tower Hamlets 002D,11.6,41.1,86.9,52.3,21.8,9.0,10.2,34662
E01004228,Tower Hamlets 003A,9.2,23.3,92.1,34.3,24.6,7.5,7.5,49686
E01004230,Tower Hamlets 003B,14.2,42.2,84.8,43.2,27.1,9.3,10.0,32844
E01004232,Tower Hamlets 003C,6.5,30.8,90.5,16.6,37.1,6.6,6.0,57518
E01004233,Tower Hamlets 003D,11.9,51.6,79.2,57.4,18.2,9.2,12.1,28343
E01004234,Tower Hamlets 003E,10.7,25.5,93.2,26.4,30.8,6.5,4.7,52655
E01004225,Tower Hamlets 004A,4.5,24.5,89.5,9.9,44.2,6.1,3.5,53906
E01004229,Tower Hamlets 004C,12.9,53.5,80.4,40.1,26,10.7,9.9,32138
E01004231,Tower Hamlets 004D,21.8,63.7,76,55.8,23.8,10.5,11.5,28292
E01032764,Tower Hamlets 004E,9.3,35.3,86.2,39.3,39.2,8.8,6.2,39648
E01032765,Tower Hamlets 004F,14.4,41.8,89.5,47.3,26.7,9.6,7.8,32667
E01032784,Tower Hamlets 004G,10.1,36.9,83.5,24,46.8,7.6,5.0,36147
E01004200,Tower Hamlets 005A,5,37.2,85.5,19.7,56.1,7.6,5.2,37690
E01004202,Tower Hamlets 005B,8.4,48.2,83.5,30.6,35.8,9.3,7.1,36801
E01004203,Tower Hamlets 005C,10.3,41.9,85.1,32.8,37.2,8.3,6.6,33357
E01004204,Tower Hamlets 005D,10.3,55.1,75.6,60.5,16,8.3,13.7,28101
E01004311,Tower Hamlets 006A,11.2,47.9,82.1,54.8,20.5,7.8,11.5,28089
E01004314,Tower Hamlets 006B,7.7,22.7,90.3,18.1,29.8,5.5,4.4,58646
E01004315,Tower Hamlets 006C,7.7,42.9,79.5,45.1,26.2,8.1,8.4,34106
E01004318,Tower Hamlets 006D,15.2,56.1,77.1,63.3,19.8,11.3,13.2,30276
E01004259,Tower Hamlets 007A,8.9,39.1,85,31.7,34.6,7.1,6.8,36563
E01004260,Tower Hamlets 007B,13.4,57.6,77.7,48.9,20.6,9.0,11.3,29150
E01004263,Tower Hamlets 007C,16.4,50.5,82.4,62.9,17.6,9.7,11.6,26778
E01004266,Tower Hamlets 007D,13.6,36.1,89.9,45.5,22.5,8.0,10.1,34586
E01004235,Tower Hamlets 008A,16,77.6,70.8,70.8,16,11.5,14.2,26197
E01004236,Tower Hamlets 008B,16.1,78.9,67.6,60.2,21.1,12.0,16.3,24858
E01004237,Tower Hamlets 008C,12.6,58.8,76.7,47.6,23.7,11.0,11.3,30044
E01004238,Tower Hamlets 008D,13,73,70,45.9,34.2,10.3,11.6,29436
E01004239,Tower Hamlets 008E,17.3,67.9,78.2,64,13.1,11.2,14.9,28079
E01004312,Tower Hamlets 009A,12.3,62.8,76.8,61.5,22,8.9,12.3,26199
E01004313,Tower Hamlets 009B,14.5,53.7,72.4,43,31.4,10.1,8.5,30462
E01004316,Tower Hamlets 009C,13.6,52.8,79.1,51.6,25.3,7.9,11.1,31699
E01004317,Tower Hamlets 009D,5.6,41.3,83.4,23.7,49.3,6.8,7.7,45068
E01004261,Tower Hamlets 010A,9.8,59.2,71.5,46,37.1,9.1,8.6,24032
E01004262,Tower Hamlets 010B,8.7,54.9,78.4,46.1,29.1,8.2,10.2,28338
E01004264,Tower Hamlets 010C,16.8,80.9,59.1,52.5,23,9.2,15.9,24846
E01032785,Tower Hamlets 010E,7.8,40.2,85.1,32.5,27.9,6.0,7.0,48498
E01032786,Tower Hamlets 010F,11.7,49.5,77.3,55.5,18,8.2,10.3,31315
E01004207,Tower Hamlets 011A,13.2,59.4,81.2,56.9,22.5,10.0,9.2,28481
E01004209,Tower Hamlets 011B,15.5,73.8,65.7,69.5,16.5,12.5,15.0,26624
E01004212,Tower Hamlets 011D,7.9,56,65.6,39.4,35.7,8.3,8.4,28883
E01032787,Tower Hamlets 011F,11.9,73.2,72.5,53.8,24.5,11.0,12.7,27130
E01004240,Tower Hamlets 012A,19,66.9,73,60.6,17.6,10.3,12.8,25797
E01004241,Tower Hamlets 012B,17.7,68.9,72.5,64.9,19.6,11.4,17.2,26105
E01004242,Tower Hamlets 012C,13.3,68.4,70,47.7,32.5,11.6,13.0,29307
E01004267,Tower Hamlets 012D,10,51.7,82,39.7,34.2,10.2,9.8,33348
E01004268,Tower Hamlets 012E,13.4,69.2,71.2,62.5,25.9,9.2,16.7,25742
E01004205,Tower Hamlets 013A,11.5,79.9,61.8,59.4,24.6,11.3,16.0,25724
E01004206,Tower Hamlets 013B,12.5,73.1,64.8,60.1,22.6,10.1,12.9,23192
E01004208,Tower Hamlets 013C,2.9,51.6,80.2,12.8,51.5,7.2,7.7,39111
E01004211,Tower Hamlets 013D,3.8,40.5,84,25.8,42.6,7.6,8.2,36859
E01004269,Tower Hamlets 014A,11.3,60.5,74.4,51.9,27.7,7.5,12.5,28075
E01004270,Tower Hamlets 014B,8.9,46.3,80.1,22.4,44.2,7.9,8.6,35252
E01004271,Tower Hamlets 014C,16.6,73.6,68.6,66.6,18.6,11.2,16.3,27941
E01004272,Tower Hamlets 014D,16.6,81.5,67.3,67.1,17.4,11.4,17.6,24036
E01004273,Tower Hamlets 014E,18.9,81.5,69.9,69.2,15.2,12.2,16.6,26052
E01004306,Tower Hamlets 015A,5.4,54.4,76.9,27.9,40.3,5.9,7.8,39836
E01004307,Tower Hamlets 015B,3.4,32.3,78.9,16.4,53.2,5.0,5.6,58891
E01004308,Tower Hamlets 015C,6.3,62.2,74.2,35.1,25.8,7.6,8.4,32649
E01004309,Tower Hamlets 015D,9.4,64.1,65.1,43.7,32.9,9.8,17.1,29926
E01004310,Tower Hamlets 015E,5,60.9,69.5,39.7,39.8,7.9,14.1,31064
E01004283,Tower Hamlets 016A,11.1,61.8,78.2,52.4,23.9,12.1,11.6,28027
E01004287,Tower Hamlets 016B,11.4,66,71.4,51.5,21,9.9,10.2,27955
E01004289,Tower Hamlets 016C,11.3,60.6,76.9,48.2,23.6,10.2,10.5,28848
E01004290,Tower Hamlets 016D,5.9,42.1,81,27,41.2,6.4,6.8,34324
E01004322,Tower Hamlets 017A,9.2,61.1,76.5,49.4,27.5,9.1,10.1,30076
E01004323,Tower Hamlets 017B,6.5,60.1,77.3,37.1,32.1,7.6,8.6,31459
E01004324,Tower Hamlets 017C,13.4,73.6,67.8,49.5,20,9.5,13.2,26862
E01004326,Tower Hamlets 017D,7.5,58.3,68.1,38.8,37.2,8.1,7.7,30084
E01004245,Tower Hamlets 018A,20.3,78,70,71.1,13.2,14.0,18.2,24010
E01004246,Tower Hamlets 018B,11.8,50.7,80.5,25,23,9.8,10.5,32178
E01004248,Tower Hamlets 018C,22,70.9,78.5,72.6,16.6,9.8,18.6,23859
E01004249,Tower Hamlets 018D,18.3,65.9,75.6,62.8,17.8,10.1,16.4,26067
E01004284,Tower Hamlets 019A,8.3,66.9,77.9,59.3,11.7,9.3,11.0,33550
E01004285,Tower Hamlets 019B,12.8,80.3,66.9,67.3,14.3,10.3,16.9,25633
E01004286,Tower Hamlets 019C,15.4,64.5,78.7,56.8,12.7,11.7,15.3,31280
E01004288,Tower Hamlets 019D,17.7,69.9,70.1,67.4,13.3,13.2,16.1,26235
E01004243,Tower Hamlets 020A,19.5,65.6,72,59.1,20.8,10.5,13.7,25778
E01004244,Tower Hamlets 020B,17.6,61.6,77.7,61.5,19.1,13.5,18.3,26295
E01004247,Tower Hamlets 020C,16.8,61.1,66.8,50.8,31.5,10.2,16.3,25587
E01004250,Tower Hamlets 020D,19.6,61.3,79.2,67.3,15.9,11.4,15.5,26493
E01004319,Tower Hamlets 021A,10.4,79.1,60.2,39.7,37.8,11.6,13.3,27417
E01004321,Tower Hamlets 021C,7.5,73.1,66.9,56.7,25.9,7.8,10.9,29411
E01004325,Tower Hamlets 021D,5.1,48.6,73.7,16.3,63.6,6.0,6.0,44469
E01032766,Tower Hamlets 021E,5.5,53.6,76.7,22.8,48.8,6.3,6.5,48592
E01032767,Tower Hamlets 021F,1.8,34.1,77.2,7,69.6,3.4,3.7,61905
E01004298,Tower Hamlets 022A,14.5,70.4,67.6,57.5,23.3,10.3,13.8,27706
E01004300,Tower Hamlets 022B,14.6,66.6,72.6,62.6,16.7,12.7,12.0,26634
E01004304,Tower Hamlets 022C,11.8,76.1,65.7,52.8,22.1,11.3,14.4,26905
E01004305,Tower Hamlets 022D,17.2,64.9,69.7,54.9,22.3,9.7,12.6,26487
E01004251,Tower Hamlets 023A,14,63.8,75,54.2,19.8,10.5,12.9,27411
E01004254,Tower Hamlets 023B,3.5,33.9,81.2,7,51.8,4.7,4.9,61920
E01004255,Tower Hamlets 023C,10.8,67.8,72,47.9,26.6,9.4,12.7,28770
E01004258,Tower Hamlets 023D,5.8,37,83.9,25.1,30.7,6.6,5.3,56927
E01004252,Tower Hamlets 024A,12.6,61.2,75.1,44.1,31.5,9.7,11.5,30978
E01004253,Tower Hamlets 024B,20.7,58.9,77.7,60.2,16.8,11.5,13.3,26515
E01004256,Tower Hamlets 024C,17.2,63.2,69.1,53.7,23.2,10.5,11.5,26570
E01004257,Tower Hamlets 024D,21,66.8,69.9,51.5,28.5,10.5,16.8,26065
E01004301,Tower Hamlets 025B,8.5,74.7,66.8,45.8,23.5,10.4,11.5,27917
E01004302,Tower Hamlets 025C,12.4,81.9,61.7,48.8,22.1,11.2,12.5,26689
E01004303,Tower Hamlets 025D,9.8,55.1,79.4,42.5,25.9,9.9,9.9,36719
E01032768,Tower Hamlets 025E,3,33.4,79.3,7.8,54.7,5.4,3.6,67378
E01032769,Tower Hamlets 025F,5.9,46.8,81.3,16.4,46.4,6.4,6.8,55469
E01004292,Tower Hamlets 026A,3.3,28.1,84.7,5.9,42.9,7.1,2.4,72042
E01004294,Tower Hamlets 026B,5.4,40.3,81.9,25.2,35.5,7.2,7.1,52191
E01004295,Tower Hamlets 026C,13,78.9,63.4,58.2,21.2,9.6,13.7,26575
E01004296,Tower Hamlets 026D,9.2,55,80.3,42.8,29.4,7.4,8.6,34021
E01004291,Tower Hamlets 027A,4.2,24.2,84.4,12.1,39.1,5.9,4.1,62297
E01004293,Tower Hamlets 027B,2.6,23.8,84.8,12.6,41.1,4.9,4.3,70068
E01004297,Tower Hamlets 027C,4.2,24,87,9.8,38.1,6.0,3.1,71033
E01004215,Tower Hamlets 028A,13.4,53,75,29.2,40.8,7.4,8.9,39071
E01004219,Tower Hamlets 028B,13.5,72.1,65,49.1,28.9,8.8,12.6,30676
E01004221,Tower Hamlets 028D,9.5,42.2,78.3,27.4,39.5,7.6,7.5,48293
E01032776,Tower Hamlets 028E,3.3,52.3,67,10.3,68.1,4.6,5.3,60683
E01032777,Tower Hamlets 028F,8.4,59.9,76.3,30,35.4,7.7,6.5,49386
E01032778,Tower Hamlets 028G,6.7,58.4,72.7,15.2,58.9,3.5,6.0,55034
E01032779,Tower Hamlets 028H,9.7,50.6,72,16.5,63.5,5.0,5.3,56001
E01032780,Tower Hamlets 028I,2.6,44.3,80.4,3.1,58,5.6,3.6,70976
E01004214,Tower Hamlets 030A,19.5,57.2,74.1,75.5,13.4,11.9,14.6,26011
E01004216,Tower Hamlets 030B,9,40.2,78.6,23.1,41.9,7.0,5.7,47825
E01004217,Tower Hamlets 030C,11.4,37.6,82.3,37.6,26.1,8.6,7.7,38662
E01004218,Tower Hamlets 030D,8.2,35.1,81.7,15.9,35.8,9.6,6.6,53722
E01004274,Tower Hamlets 031A,15,64.7,74.8,44.3,31,7.9,12.3,36114
E01004275,Tower Hamlets 031B,10.2,31.8,83.5,23.3,37.5,8.5,6.5,47541
E01004276,Tower Hamlets 031C,2.4,29.8,81.1,1.2,53.6,5.4,3.2,74069
E01004281,Tower Hamlets 031D,5.9,41.3,71.7,7.1,57.8,5.9,6.9,59896
E01032775,Tower Hamlets 031F,4.3,41.2,72.5,7.3,57,5.4,5.3,65240
E01032783,Tower Hamlets 031G,8.3,47.7,74.9,26.2,44.8,6.5,7.9,48855
E01004280,Tower Hamlets 032A,11.3,54.4,76.6,36,33.4,7.4,9.4,40444
E01032770,Tower Hamlets 032B,7.5,55.2,77.1,26.7,46.7,4.6,9.0,51095
E01032772,Tower Hamlets 032C,6.1,51.9,68.6,27.2,52.2,9.0,8.5,32887
E01032773,Tower Hamlets 032D,8.8,56.8,67.8,25.5,43.9,6.3,7.1,49997
E01032774,Tower Hamlets 032E,15.3,52.7,75.3,43.7,37.6,9.2,11.9,34050
E01004277,Tower Hamlets 033A,1.1,39,74.5,2.9,60.9,3.5,2.4,79658
E01032771,Tower Hamlets 033B,6.2,57.9,72.5,21.1,51.8,6.0,6.6,51434
E01032781,Tower Hamlets 033C,4.2,40.6,77,10.1,55.1,5.9,3.5,59983
E01032782,Tower Hamlets 033D,8.5,57.9,67.4,25.6,51.9,5.9,9.6,37938
E01004560,Wandsworth 001A,7.1,21.5,85,13.8,36.4,7.1,4.6,43630
E01004566,Wandsworth 001B,4.3,13.5,90.7,11.2,39.1,6.3,4.2,55099
E01004582,Wandsworth 001C,7.4,23.8,87.2,8,32.2,7.1,4.0,52476
E01004583,Wandsworth 001D,9.1,22.2,86.2,15.3,29.2,8.9,2.8,45268
E01004562,Wandsworth 002B,17.9,50.5,78.6,49.6,22,11.4,8.3,28043
E01004563,Wandsworth 002C,16.3,49.1,75.8,42,31.7,10.7,9.7,26458
E01004564,Wandsworth 002D,10.2,23,92.6,31,31.6,8.6,4.2,38937
E01004567,Wandsworth 002E,23.3,57,80.2,51.5,22.1,11.8,10.3,25962
E01033098,Wandsworth 002F,3,33.2,68.4,7,47.7,5.1,5.0,42391
E01033100,Wandsworth 002G,9.8,39.7,81.2,40,34.3,8.7,5.9,28799
E01033132,Wandsworth 002H,10,41.9,74.5,24.9,35.9,7.1,6.5,32807
E01004539,Wandsworth 003A,26.6,55.1,80,64.2,13.9,13.8,11.6,24120
E01004540,Wandsworth 003B,10.8,30.1,87.9,38.5,21.8,9.0,5.8,33778
E01004577,Wandsworth 003C,7.6,18.9,89.3,20.7,35.5,7.5,3.3,42147
E01004584,Wandsworth 003D,29,55.9,80.7,71.8,13.4,11.6,14.2,24104
E01004579,Wandsworth 004B,10.2,21.4,92.3,31.2,21.9,9.1,6.5,47438
