Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01000962,Camden 016A,6,25.3,84.3,5.9,47.7,4.7,4.4,57954
E01000964,Camden 016B,11.1,25.4,86.7,30.3,33.4,7.3,5.7,45755
E01000965,Camden 016C,8.1,28.6,81.3,18.2,38.9,5.9,3.0,44410
E01000966,Camden 016D,2.8,16.1,86.5,3.7,42.1,4.1,2.0,63943
E01000968,Camden 016E,4.9,25.4,86.6,18.2,41.6,4.3,3.8,46075
E01000960,Camden 017A,6.8,38.8,77.1,17.2,45.9,5.4,6.7,41451
E01000961,Camden 017B,17.6,46.3,73.5,38.3,27.5,8.4,10.2,30385
E01000963,Camden 017C,7.1,48.3,67.3,8.3,47.7,5.7,4.2,52918
E01000967,Camden 017D,5.3,24.4,88.5,12.4,30.2,7.7,3.5,60568
E01000857,Camden 018A,6.6,19.2,90.5,24.2,30.8,8.1,3.0,47797
E01000858,Camden 018B,16.3,42.2,82.1,57.3,22.5,10.5,9.7,27282
E01000859,Camden 018C,3.8,13.1,91.3,10.8,38.2,5.9,4.0,61120
E01000860,Camden 018D,4.1,17.1,85.8,47.8,24.1,7.6,4.5,44797
E01000862,Camden 018E,4.3,18,89.1,6.4,32.8,6.5,2.9,62468
E01000856,Camden 019A,14.3,42.9,80.6,49.5,28.8,9.0,11.9,27044
E01000861,Camden 019B,11,30.5,86.7,31.4,39.4,7.9,7.4,30135
E01000957,Camden 019C,12.2,38.9,76.5,38,32.4,9.0,8.8,28624
E01000958,Camden 019D,16.8,46,82.9,47.2,29,9.7,8.4,27133
E01000959,Camden 019E,15,44.4,77.2,64.3,18.3,9.2,9.3,22347
E01000929,Camden 020A,18,46.6,73.4,57.7,20,11.1,12.2,26403
E01000930,Camden 020B,9.9,41.6,73,46.1,35.7,7.3,9.3,24061
E01000933,Camden 020C,6.6,27,85.4,17.4,45.8,7.1,6.5,37278
E01000934,Camden 020D,14.1,48.4,73,46.4,27.3,10.1,11.3,25033
E01000935,Camden 020E,19.2,47.7,72.9,66.7,17.8,12.6,10.4,25247
E01000863,Camden 021A,7.9,23.4,83.1,19.8,52.9,8.1,6.5,40815
E01000946,Camden 021B,9.9,35.4,80,30.9,33.3,8.0,4.8,38675
E01000947,Camden 021C,7.7,36.3,80.7,26.3,48.3,6.5,7.9,29657
E01000948,Camden 021D,8.5,26,85.5,33.5,30.7,8.2,4.6,40748
E01000952,Camden 022A,17.6,48.8,78.8,60.9,21.9,10.1,10.1,24012
E01000953,Camden 022B,13.8,53.2,75.6,65.5,15.4,11.1,9.1,23027
E01000954,Camden 022C,23.1,55.9,72.9,79.1,10,10.5,13.4,21566
E01000955,Camden 022D,14.5,48.5,79,84,8.5,12.6,10.4,22567
E01000956,Camden 022E,14,58.8,68.8,58.1,27,9.4,10.9,25464
E01000944,Camden 023A,15.1,51.8,82.3,52.9,30.3,6.6,11.8,23637
E01000945,Camden 023B,11.8,53.2,74.3,42.4,39.3,7.8,6.8,27236
E01000949,Camden 023C,14.6,40.2,86.2,80,10.7,10.3,8.5,29196
E01000950,Camden 023D,17.8,60.3,69.3,67.1,17.5,10.5,13.4,20176
E01000951,Camden 023E,14.4,53.6,78.3,63.8,16.9,9.6,13.5,21727
E01000936,Camden 024A,18.5,51.1,75.2,50.6,25.7,8.7,10.2,28382
E01000938,Camden 024B,17.1,53.9,68.9,47.8,39.1,9.8,10.5,26281
E01000939,Camden 024C,14.8,66.6,70.9,63.7,20.4,9.2,13.7,23517
E01000940,Camden 024D,9.7,48.7,73,65.9,22.3,6.9,12.2,28095
E01000853,Camden 025A,11.4,40.3,78.9,63.1,17.7,8.7,13.4,28846
E01000937,Camden 025B,7.2,47.7,73.9,24.7,51.4,6.5,7.3,28092
E01000941,Camden 025C,16.3,52.5,78.3,77,11.1,11.9,12.1,23407
E01000942,Camden 025D,5.1,39.6,80,23,43.6,7.2,4.3,32028
E01000943,Camden 025E,5.9,36.3,76.3,25.2,45.3,6.4,7.6,31578
E01000850,Camden 026A,2.9,36.1,83,17.9,52.9,3.8,3.1,44181
E01000851,Camden 026B,3.6,38.1,78.2,17.1,54.1,5.4,3.9,37265
E01000852,Camden 026C,3.7,41.2,73.1,24.6,47.5,5.2,4.2,32650
E01000854,Camden 026D,8.4,58.3,73.8,33.8,38,5.3,6.5,29258
E01000915,Camden 027A,12.3,50.4,81.6,59.1,21.7,8.5,10.3,28527
E01000916,Camden 027B,10.9,37.4,81,38.4,30.6,8.0,5.7,34001
E01000917,Camden 027C,14.3,48.4,76,74.5,13.9,8.7,14.0,24972
E01000920,Camden 027D,8.1,31.6,83.4,33.3,40.5,6.5,5.7,37883
E01000855,Camden 028A,1.5,28.5,84.9,16.7,42.2,5.9,4.5,35286
E01000914,Camden 028B,5.4,32.1,82.2,21.1,46.4,5.9,5.0,38253
E01000918,Camden 028C,5.8,37.4,83.9,40.7,30.8,9.1,7.6,34647
E01000919,Camden 028D,7.7,43.1,83.5,36.6,37.4,8.3,4.7,35740
E01000001,City of London 001A,2.6,15.5,90.3,4.7,30.1,5.6,3.5,58347
E01000002,City of London 001B,2.7,11.3,93.3,5.8,26.4,5.5,1.7,57159
E01000003,City of London 001C,6,21.6,90.7,36.1,21.7,8.9,4.7,34387
E01000005,City of London 001E,9.4,48.6,77.9,66.8,21.6,11.2,8.7,24000
E01032739,City of London 001F,1.5,22.1,79.3,1.6,57.2,5.5,2.7,53017
E01032740,City of London 001G,0.7,16.9,86.1,2.5,59.1,3.9,3.3,52427
E01001808,Hackney 001A,4.5,20.5,76,14.3,60,10.8,8.1,36364
E01001809,Hackney 001B,9.5,32.1,80,29.3,41,12.6,9.7,33867
E01001814,Hackney 001C,9.3,35.7,78.4,22.9,37.4,11.8,8.8,32964
E01001823,Hackney 001D,12.8,38.4,79.9,35.9,29.6,12.9,14.0,32452
E01001825,Hackney 001E,6.5,18.6,84.6,13.1,48.8,10.8,9.4,40095
E01001714,Hackney 002A,19.8,50.3,69.6,59.7,19.6,11.7,10.3,25992
E01001811,Hackney 002D,23.2,56.9,72.9,70.7,16.6,9.2,13.5,21530
E01001813,Hackney 002E,23.2,58.7,71.8,67.8,20.6,11.7,12.8,21184
E01033701,Hackney 002F,25.8,60,73.3,70,17.9,12.2,16.1,21621
E01001799,Hackney 003A,6.4,24.7,89.3,17.5,43.5,9.9,8.1,41561
